scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Celeribacter indicus	P73	GCF_000819565.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Celeribacter	Celeribacter indicus	soil/water	aerobe	non_gut	non_pathogenic
Celerinatantimonas diazotrophica		GCF_914590485.1	reference genome	Pseudomonadota	Gammaproteobacteria		Celerinatantimonadaceae	Celerinatantimonas	Celerinatantimonas diazotrophica	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Cellulomonas fimi ATCC 484	ATCC 484	GCF_000212695.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Cellulomonadaceae	Cellulomonas	Cellulomonas fimi	soil/clinical	aerobe	non_gut	non_pathogenic
Cellulophaga lytica DSM 7489	DSM 7489	GCF_000190595.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Cellulophaga	Cellulophaga lytica	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Cellulosilyticum lentocellum DSM 5427	DSM 5427	GCF_000178835.2	reference genome	Bacillota	Clostridia	Lachnospirales	Cellulosilyticaceae	Cellulosilyticum	Cellulosilyticum lentocellum	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Cellulosimicrobium protaetiae	BI34	GCF_009708005.2	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Promicromonosporaceae	Cellulosimicrobium	Cellulosimicrobium protaetiae	soil/clinical	aerobe	non_gut	non_pathogenic
Cellvibrio japonicus Ueda107	Ueda107	GCF_000019225.1	reference genome	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio japonicus	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Cereibacter sphaeroides 2.4.1	2.4.1	GCF_003324715.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Cereibacter	Cereibacter sphaeroides	soil/water	aerobe	non_gut	non_pathogenic
Cetobacterium somerae	CS2105-BJ	GCF_022430525.1	reference genome	Fusobacteriota	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Cetobacterium	Cetobacterium somerae	human gut/oral	anaerobe	gut_associated	opportunistic_pathogen
Chakrabartyella piscis	BP5G	GCF_030067835.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Chakrabartyella	Chakrabartyella piscis	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Changchengzhania lutea	SM1355	GCF_006974145.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Changchengzhania	Changchengzhania lutea	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Changpingibacter yushuensis	JY-X040	GCF_014041995.1	reference genome	Actinomycetota	Actinomycetes	Actinomycetales	Actinomycetaceae	Changpingibacter	Changpingibacter yushuensis	soil/clinical	aerobe	non_gut	non_pathogenic
Chania multitudinisentens RB-25	RB-25	GCF_000520015.2	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Chania	Chania multitudinisentens	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Chitinibacter fontanus	STM-7	GCF_013423785.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinibacter	Chitinibacter fontanus	human naso/clinical	aerobe	non_gut	pathogen (human)
Chitinimonas arctica	R3-44	GCF_007431345.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinimonas	Chitinimonas arctica	human naso/clinical	aerobe	non_gut	pathogen (human)
Chitiniphilus purpureus	CD1	GCF_025642115.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitiniphilus	Chitiniphilus purpureus	human naso/clinical	aerobe	non_gut	pathogen (human)
Chitinirhabdus sediminis	HSL-7	GCF_052230655.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinirhabdus	Chitinirhabdus sediminis	human naso/clinical	aerobe	non_gut	pathogen (human)
Chitinolyticbacter meiyuanensis	SYBC-H1	GCF_008033135.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Chitinolyticbacter	Chitinolyticbacter meiyuanensis	human naso/clinical	aerobe	non_gut	pathogen (human)
Chitinophaga pinensis DSM 2588	DSM 2588	GCF_000024005.1	reference genome	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Chitinophaga	Chitinophaga pinensis	soil	aerobe	non_gut	non_pathogenic
Chlamydia psittaci 6BC	6BC	GCF_000204255.1	reference genome	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia psittaci	human cells	aerobe	non_gut	pathogen (human)
Chlamydiifrater volucris		GCF_902806995.1	reference genome	Chlamydiota	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydiifrater	Chlamydiifrater volucris	human cells	aerobe	non_gut	pathogen (human)
Chloracidobacterium thermophilum B	B	GCF_000226295.1	reference genome	Acidobacteriota	Blastocatellia	Chloracidobacteriales	Chloracidobacteriaceae	Chloracidobacterium	Chloracidobacterium thermophilum	acidic soil	facultative_anaerobe	non_gut	non_pathogenic
Chlorobaculum tepidum TLS	TLS	GCF_000006985.1	reference genome	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Chlorobaculum	Chlorobaculum tepidum	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Chlorobium limicola DSM 245	DSM 245	GCF_000020465.1	reference genome	Chlorobiota	Chlorobiia	Chlorobiales	Chlorobiaceae	Chlorobium	Chlorobium limicola	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Chloroflexus aurantiacus J-10-fl	J-10-fl	GCF_000018865.1	reference genome	Chloroflexota	Chloroflexia	Chloroflexales	Chloroflexaceae	Chloroflexus	Chloroflexus aurantiacus	hot springs	facultative_anaerobe	non_gut	non_pathogenic
Chloroherpeton thalassium ATCC 35110	ATCC 35110	GCF_000020525.1	reference genome	Chlorobiota	Chlorobiia	Chlorobiales	Chloroherpetonaceae	Chloroherpeton	Chloroherpeton thalassium	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Chondrinema litorale	WSW3-B12	GCF_026250525.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Flammeovirgaceae	Chondrinema	Chondrinema litorale	soil	aerobe	non_gut	non_pathogenic
Chondromyces crocatus	Cm c5	GCF_001189295.1	reference genome	Myxococcota		Polyangiales	Polyangiaceae	Chondromyces	Chondromyces crocatus	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Chordicoccus furentiruminis	MP1D12	GCF_019355395.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Chordicoccus	Chordicoccus furentiruminis	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Christensenella minuta	DSM 22607	GCF_003628755.1	reference genome	Bacillota	Clostridia	Christensenellales	Christensenellaceae	Christensenella	Christensenella minuta	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Christiangramia flava JLT2011	JLT2011	GCF_001951155.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Christiangramia	Christiangramia flava	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Chromobacterium violaceum ATCC 12472	ATCC 12472	GCF_000007705.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum	human naso/clinical	aerobe	non_gut	pathogen (human)
Chromohalobacter israelensis DSM 3043	DSM 3043	GCF_000055785.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Chromohalobacter	Chromohalobacter israelensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Chroococcidiopsis thermalis PCC 7203	PCC 7203	GCF_000317125.1	reference genome	Cyanobacteriota	Cyanophyceae	Chroococcidiopsidales	Chroococcidiopsidaceae	Chroococcidiopsis	Chroococcidiopsis thermalis	freshwater/marine	aerobe	non_gut	non_pathogenic
Chryseobacterium camelliae	Dolsongi-HT1	GCF_002770595.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium camelliae	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Chryseolinea soli	KIS68-18	GCF_003589925.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Fulvivirgaceae	Chryseolinea	Chryseolinea soli	soil	aerobe	non_gut	non_pathogenic
Chryseomicrobium aureum	WGS1526	GCF_043182735.1	reference genome	Bacillota	Bacilli	Bacillales	Caryophanaceae	Chryseomicrobium	Chryseomicrobium aureum	soil	aerobe	non_gut	non_pathogenic
Ciceribacter thiooxidans	F43B	GCF_014126615.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Ciceribacter	Ciceribacter thiooxidans	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Citricoccus nitrophenolicus	B1	GCF_047305825.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Citricoccus	Citricoccus nitrophenolicus	soil/clinical	aerobe	non_gut	non_pathogenic
Citrifermentans bemidjiense Bem	Bem	GCF_000020725.1	reference genome	Thermodesulfobacteriota	Desulfuromonadia	Geobacterales	Geobacteraceae	Citrifermentans	Citrifermentans bemidjiense	sediment/soil	anaerobe	non_gut	non_pathogenic
Citrobacter amalonaticus	FDAARGOS_1489	GCF_020099335.1	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Citrobacter	Citrobacter amalonaticus	human gut/environment	facultative_anaerobe	gut_associated	opportunistic_pathogen
Claveliimonas bilis	12BBH14	GCF_030296775.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Claveliimonas	Claveliimonas bilis	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Clavibacter michiganensis	LMG7333	GCF_021216655.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Clavibacter	Clavibacter michiganensis	soil/clinical	aerobe	non_gut	non_pathogenic
Cloacibacillus porcorum	CL-84 (T)	GCF_001701045.1	reference genome	Synergistota	Synergistia	Synergistales	Synergistaceae	Cloacibacillus	Cloacibacillus porcorum	anaerobic sewage/gut	obligate_anaerobe	gut_associated	non_pathogenic
Cloacibacterium normanense	NRS-1	GCF_003860565.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cloacibacterium	Cloacibacterium normanense	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Clostridioides difficile	S-0253	GCF_018885085.1	reference genome	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	human gut	obligate_anaerobe	gut_associated	pathogen (human)
Clostridium perfringens	FDAARGOS_903	GCF_016027375.1	reference genome	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium perfringens	soil/gut	obligate_anaerobe	gut_associated	pathogen (human)
Cnuibacter physcomitrellae	XA(T)	GCF_002096055.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cnuibacter	Cnuibacter physcomitrellae	soil/clinical	aerobe	non_gut	non_pathogenic
Cobetia marina	JCM 21022	GCF_001720485.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Cobetia	Cobetia marina	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Cognaticolwellia beringensis	NB097-1	GCF_002076895.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Cognaticolwellia	Cognaticolwellia beringensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Cohnella herbarum	MFER-1	GCF_012849095.1	reference genome	Bacillota	Bacilli	Bacillales	Paenibacillaceae	Cohnella	Cohnella herbarum	soil	facultative_anaerobe	non_gut	non_pathogenic
Collimonas fungivorans	Ter6	GCF_001584145.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas fungivorans	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Collinsella aerofaciens ATCC 25986	JCM 10188	GCF_010509075.1	reference genome	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Collinsella	Collinsella aerofaciens	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Colwellia psychrerythraea 34H	34H; BAA-681	GCF_000012325.1	reference genome	Pseudomonadota	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia psychrerythraea	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Comamonas terrigena NBRC 13299	NBRC 13299	GCF_006740045.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas terrigena	soil/water	aerobe	non_gut	non_pathogenic
Commensalibacter melissae	AMU001	GCF_003691365.1	reference genome	Pseudomonadota	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Commensalibacter	Commensalibacter melissae	soil/water	aerobe	non_gut	non_pathogenic
Companilactobacillus farciminis KCTC 3681 = DSM 20184	DSM 20184	GCF_002706745.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Companilactobacillus	Companilactobacillus farciminis	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Conchiformibius steedae	DSM 2580	GCF_014054725.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Neisseriaceae	Conchiformibius	Conchiformibius steedae	human naso/clinical	aerobe	non_gut	pathogen (human)
Conexibacter woesei DSM 14684	DSM 14684	GCF_000025265.1	reference genome	Actinomycetota	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter	Conexibacter woesei	soil/clinical	aerobe	non_gut	non_pathogenic
Congregibacter variabilis	IMCC43200	GCF_045689235.1	reference genome	Pseudomonadota	Gammaproteobacteria	Cellvibrionales	Halieaceae	Congregibacter	Congregibacter variabilis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Congregicoccus parvus	ASA1	GCF_036323555.1	reference genome	Verrucomicrobiota	Opitutia	Opitutales	Alterococcaceae	Congregicoccus	Congregicoccus parvus	soil/water/gut	aerobe	non_gut	non_pathogenic
Constantimarinum furrinae	ALE3EI	GCF_014295415.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Constantimarinum	Constantimarinum furrinae	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Coprobacter fastidiosus	JCM 33896	GCF_030296935.1	reference genome	Bacteroidota	Bacteroidia	Bacteroidales	Barnesiellaceae	Coprobacter	Coprobacter fastidiosus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Coprococcus eutactus	ATCC 27759	GCF_025149915.1	reference genome	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus eutactus	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Coprothermobacter proteolyticus DSM 5265	DSM 5265	GCF_000020945.1	reference genome	Coprothermobacterota	Coprothermobacteria	Coprothermobacterales	Coprothermobacteraceae	Coprothermobacter	Coprothermobacter proteolyticus	unknown habitat	facultative_anaerobe	non_gut	non_pathogenic
Coraliomargarita akajimensis DSM 45221	DSM 45221	GCF_000025905.1	reference genome	Verrucomicrobiota	Opitutia	Puniceicoccales	Coraliomargaritaceae	Coraliomargarita	Coraliomargarita akajimensis	soil/water/gut	aerobe	non_gut	non_pathogenic
Coralliovum pocilloporae	SCSIO 12594	GCF_030845175.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Coralliovaceae	Coralliovum	Coralliovum pocilloporae	soil/rhizosphere	aerobe	non_gut	non_pathogenic
Corallococcus coralloides DSM 2259	DSM 2259	GCF_000255295.1	reference genome	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Corallococcus	Corallococcus coralloides	soil	aerobe	non_gut	non_pathogenic
Coriobacterium glomerans PW2	PW2	GCF_000195315.1	reference genome	Actinomycetota	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Coriobacterium	Coriobacterium glomerans	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Corynebacterium glutamicum ATCC 13032	ATCC 13032	GCF_000011325.1	reference genome	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium glutamicum	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Costertonia aggregata	KCCM 42265	GCF_013402795.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Costertonia	Costertonia aggregata	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Coxiella burnetii RSA 493	RSA 493	GCF_000007765.2	reference genome	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	Coxiella burnetii	tick/mammal	aerobe	non_gut	pathogen (zoonotic)
Coxiella-like endosymbiont of Amblyomma americanum		GCF_002850495.1	reference genome	Pseudomonadota	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella-like	Coxiella-like endosymbiont of Amblyomma americanum	aquatic/soil	aerobe	non_gut	pathogen (human)
Crassaminicella profunda	Ra1766H	GCF_019884785.1	reference genome	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Crassaminicella	Crassaminicella profunda	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Crateriforma spongiae	HD03	GCF_047300955.1	reference genome	Planctomycetota	Planctomycetia	Planctomycetales	Planctomycetaceae	Crateriforma	Crateriforma spongiae	freshwater/marine	aerobe	non_gut	non_pathogenic
Crinalium epipsammum PCC 9333	PCC 9333	GCF_000317495.1	reference genome	Cyanobacteriota	Cyanophyceae	Gomontiellales	Gomontiellaceae	Crinalium	Crinalium epipsammum	freshwater/marine	aerobe	non_gut	non_pathogenic
Croceibacter atlanticus HTCC2559	HTCC2559	GCF_000196315.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	Croceibacter atlanticus	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Croceibacterium atlanticum	26DY36	GCF_001008165.2	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceibacterium	Croceibacterium atlanticum	soil/water	aerobe	non_gut	non_pathogenic
Croceicoccus naphthovorans	PQ-2	GCF_001028705.1	reference genome	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Croceicoccus	Croceicoccus naphthovorans	soil/water	aerobe	non_gut	non_pathogenic
Croceimicrobium hydrocarbonivorans	A20-9	GCF_014524565.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Owenweeksiaceae	Croceimicrobium	Croceimicrobium hydrocarbonivorans	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Croceiramulus getboli	YJPT1-3	GCF_029866965.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceiramulus	Croceiramulus getboli	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Crocosphaera watsonii WH 8501	WH 8501	GCF_050563455.1	reference genome	Cyanobacteriota	Cyanophyceae	Chroococcales	Aphanothecaceae	Crocosphaera	Crocosphaera watsonii	freshwater/marine	aerobe	non_gut	non_pathogenic
Cronobacter malonaticus LMG 23826	LMG 23826	GCF_001277215.2	reference genome	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Cronobacter	Cronobacter malonaticus	environment/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Cruoricaptor ignavus	M1214	GCF_014961145.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Weeksellaceae	Cruoricaptor	Cruoricaptor ignavus	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Cryobacterium soli	GCJ02	GCF_003611035.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Cryobacterium	Cryobacterium soli	soil/clinical	aerobe	non_gut	non_pathogenic
Cryptobacterium curtum DSM 15641	DSM 15641	GCF_000023845.1	reference genome	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Cryptobacterium	Cryptobacterium curtum	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Crystallibacter crystallopoietes	DSM 20117	GCF_002849715.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Micrococcaceae	Crystallibacter	Crystallibacter crystallopoietes	soil/clinical	aerobe	non_gut	non_pathogenic
Cupriavidus necator N-1	N-1	GCF_000219215.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus necator	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Curtobacterium pomorum	KT1	GCF_044497295.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Curtobacterium	Curtobacterium pomorum	soil/clinical	aerobe	non_gut	non_pathogenic
Cutibacterium acnes subsp. acnes	NBRC 107605	GCF_006739385.1	reference genome	Actinomycetota	Actinomycetes	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes	human skin	anaerobe	non_gut	opportunistic_pathogen
Cyanobacterium aponinum PCC 10605	PCC 10605	GCF_000317675.1	reference genome	Cyanobacteriota	Cyanophyceae	Chroococcales	Geminocystaceae	Cyanobacterium	Cyanobacterium aponinum	freshwater/marine	aerobe	non_gut	non_pathogenic
Cyanobium gracile PCC 6307	PCC 6307	GCF_000316515.1	reference genome	Cyanobacteriota	Cyanophyceae	Synechococcales	Prochlorococcaceae	Cyanobium	Cyanobium gracile	marine/freshwater	aerobe	non_gut	non_pathogenic
Cyclobacterium marinum DSM 745	DSM 745	GCF_000222485.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Cyclobacterium	Cyclobacterium marinum	soil	aerobe	non_gut	non_pathogenic
Cyclonatronum proteinivorum	Omega	GCF_003353065.1	reference genome	Balneolota	Balneolia	Balneolales	Cyclonatronaceae	Cyclonatronum	Cyclonatronum proteinivorum	saline water	aerobe	non_gut	non_pathogenic
Cylindrospermopsis raciborskii Cr2010	Cr2010	GCF_003367075.2	reference genome	Cyanobacteriota	Cyanophyceae	Nostocales	Aphanizomenonaceae	Cylindrospermopsis	Cylindrospermopsis raciborskii	freshwater/soil	aerobe	non_gut	non_pathogenic
Cytobacillus dafuensis	FJAT-25496	GCF_007995155.1	reference genome	Bacillota	Bacilli	Bacillales	Bacillaceae	Cytobacillus	Cytobacillus dafuensis	soil	aerobe	non_gut	non_pathogenic
Cytophaga hutchinsonii ATCC 33406	ATCC 33406	GCF_000014145.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Cytophagaceae	Cytophaga	Cytophaga hutchinsonii	soil	aerobe	non_gut	non_pathogenic
Dactylococcopsis salina PCC 8305	PCC 8305	GCF_000317615.1	reference genome	Cyanobacteriota	Cyanophyceae	Nodosilineales	Cymatolegaceae	Dactylococcopsis	Dactylococcopsis salina	freshwater/marine	aerobe	non_gut	non_pathogenic
Dactylosporangium aurantiacum	NRRL B-8018	GCF_025264705.1	reference genome	Actinomycetota	Actinomycetes	Micromonosporales	Micromonosporaceae	Dactylosporangium	Dactylosporangium aurantiacum	soil/clinical	aerobe	non_gut	non_pathogenic
Dechloromonas aquae	ZY10	GCF_041378895.1	reference genome	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas aquae	soil/water/clinical	aerobe	non_gut	non_pathogenic
Deefgea piscis	D17	GCF_013284055.1	reference genome	Pseudomonadota	Betaproteobacteria	Neisseriales	Chitinibacteraceae	Deefgea	Deefgea piscis	human naso/clinical	aerobe	non_gut	pathogen (human)
Deferribacter desulfuricans SSM1	SSM1	GCF_000010985.1	reference genome	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Deferribacter	Deferribacter desulfuricans	hydrothermal	anaerobe	non_gut	non_pathogenic
Defluviicoccus vanus	Ben 114	GCF_014672695.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Defluviicoccus	Defluviicoccus vanus	soil/water	aerobe	non_gut	non_pathogenic
Defluviitalea saccharophila	LIND6LT2	GCF_038396635.1	reference genome	Bacillota	Clostridia	Lachnospirales	Defluviitaleaceae	Defluviitalea	Defluviitalea saccharophila	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Defluviitoga tunisiensis		GCF_000953715.1	reference genome	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	Defluviitoga	Defluviitoga tunisiensis	hydrothermal vent	anaerobe	non_gut	non_pathogenic
Dehalobacter restrictus DSM 9455	PER-K23; DSM 9455	GCF_000512895.1	reference genome	Bacillota	Clostridia	Eubacteriales	Desulfitobacteriaceae	Dehalobacter	Dehalobacter restrictus	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Dehalobacterium formicoaceticum	DMC	GCF_002224645.1	reference genome	Bacillota	Clostridia	Eubacteriales	Peptococcaceae	Dehalobacterium	Dehalobacterium formicoaceticum	soil/gut	obligate_anaerobe	gut_associated	non_pathogenic
Dehalococcoides mccartyi 195	195	GCF_000011905.1	reference genome	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalococcoides	Dehalococcoides mccartyi	groundwater	obligate_anaerobe	non_gut	non_pathogenic
Dehalogenimonas formicexedens	NSZ-14	GCF_001953175.1	reference genome	Chloroflexota	Dehalococcoidia	Dehalococcoidales	Dehalococcoidaceae	Dehalogenimonas	Dehalogenimonas formicexedens	groundwater	obligate_anaerobe	non_gut	non_pathogenic
Deinococcus radiodurans R1 = ATCC 13939 = DSM 20539	ATCC 13939	GCF_020546685.1	reference genome	Deinococcota	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus radiodurans	soil/radioactive env	aerobe	non_gut	non_pathogenic
Delftia lacustris	DSM 21246	GCF_040267515.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia lacustris	soil/clinical	aerobe	non_gut	non_pathogenic
Dellaglioa kimchii	P0083	GCF_046115505.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Dellaglioa	Dellaglioa kimchii	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Demequina capsici	PMTSA13	GCF_032102965.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Demequinaceae	Demequina	Demequina capsici	soil/clinical	aerobe	non_gut	non_pathogenic
Denitratisoma oestradiolicum	DSM 16959	GCF_902813185.1	reference genome	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Denitratisoma	Denitratisoma oestradiolicum	soil/water	aerobe	non_gut	non_pathogenic
Denitrobacterium detoxificans	NPOH1	GCF_001643775.1	reference genome	Actinomycetota	Coriobacteriia	Eggerthellales	Eggerthellaceae	Denitrobacterium	Denitrobacterium detoxificans	human gut	obligate_anaerobe	gut_dominant	non_pathogenic
Denitrovibrio acetiphilus DSM 12809	DSM 12809	GCF_000025725.1	reference genome	Deferribacterota	Deferribacteres	Deferribacterales	Geovibrionaceae	Denitrovibrio	Denitrovibrio acetiphilus	hydrothermal	anaerobe	non_gut	non_pathogenic
Dermabacter vaginalis	AD1-86	GCF_001678905.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Dermabacteraceae	Dermabacter	Dermabacter vaginalis	soil/clinical	aerobe	non_gut	non_pathogenic
